PRIMARY_STREET,CROSS_STREET,CITY_COUNTY,STATIONID,AGENCY,NOTES,TDOT_ID,STATUS,PREVIOUS_STATION,Longitude,Latitude,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
I-140 Ramp,,Knox,47000218R,TDOT,,47000218R,ACTIVE,,-84.06889991,35.85890384,,,,,,,,,,,,,,,,,,,,7270,7482,5154,6653,6417
I-40 Ramp,,Knox,47000019R,TDOT,,47000019R,ACTIVE,,-84.12210893,35.91435485,,,,,,,,,,,,,,,,,,,,18014,18292,14453,16650,19267
I-40 Ramp,,Knox,47000023R,TDOT,,47000023R,ACTIVE,,-84.09317292,35.91703785,,,,,,,,,,,,,,,,,,,,12421,15319,10108,10535,11243
I-40 Ramp,,Knox,47000024R,TDOT,,47000024R,ACTIVE,,-84.09183392,35.91732085,,,,,,,,,,,,,,,,,,,,6938,7157,7314,5770,5658
I-40 Ramp,,Knox,47000027R,TDOT,,47000027R,ACTIVE,,-84.09257892,35.91822285,,,,,,,,,,,,,,,,,,,,5942,6219,5694,5927,5697
I-40 Ramp,,Knox,47000028R,TDOT,,47000028R,ACTIVE,,-84.08997292,35.91957985,,,,,,,,,,,,,,,,,,,,4341,3943,4226,3740,3656
I-40 Ramp,,Knox,47000025R,TDOT,,47000025R,ACTIVE,,-84.08848592,35.91818285,,,,,,,,,,,,,,,,,,,,10172,11166,8783,9059,8974
I-40 Ramp,,Knox,47000026R,TDOT,,47000026R,ACTIVE,,-84.08360192,35.92008285,,,,,,,,,,,,,,,,,,,,17741,18608,12578,16755,16534
I-40 Ramp,,Knox,47000032R,TDOT,,47000032R,ACTIVE,,-84.07136192,35.92280485,,,,,,,,,,,,,,,,,,,,12272,11339,10198,10073,10389
I-40 Ramp,,Knox,47000029R,TDOT,,47000029R,ACTIVE,,-84.07063992,35.92219785,,,,,,,,,,,,,,,,,,,,10712,12527,6796,8949,9048
I-40 Ramp,,Knox,47000116R,TDOT,,47000116R,ACTIVE,,-84.06652892,35.92320985,,,,,,,,,,,,,,,,,,,,5208,4727,4297,4525,4475
